Cantidad;Proveedor;Total;Temporada;Fecha;Color;Talle;Familia N1;Familia N2;Familia N3;Categorias;Art.Contenedor;Artículo;Marca
1,00;;891,99;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;GENERAC TECHNOLOGY MANAGAMENT SA;3.411,00;CLASICO;02/01/2023;VARIOS;UNICO;JUEGOS Y JUGUETES;MUÑECAS Y MUÑECOS;MUÑECA;; - ;B149 POPPI MUÑECA PEDIATRA 2021 VARIOS UNICO;POPPI
1,00;GENERAC TECHNOLOGY MANAGAMENT SA;3.411,00;CLASICO;02/01/2023;VARIOS;UNICO;JUEGOS Y JUGUETES;MUÑECAS Y MUÑECOS;MUÑECA;; - ;B149 POPPI MUÑECA PEDIATRA 2021 VARIOS UNICO;POPPI
1,00;MAR PLAST S.A.;8.149,80;CLASICO;02/01/2023;VIOLETA/ROSA;UNICO;JUEGOS Y JUGUETES;KITS DE JUEGOS;SETS DE JUGUETE;; - ;96660 FIORELLA TOCADOR DE LUJO 2020 VIOLETA/ROSA UNICO;FIORELLA
1,00;JOSE FREIBERG S.A.C.I.;7.990,01;COLEGIAL;02/01/2023;VARIOS;UNICO;UTILES ESCOLARES Y LIBRERIA GENERAL;ESCOLARES;SET UTILES;; - ;COMBO 4to A 6to FREIBERG UTILES ESCOLARES 2021 VARIOS UNICO;FREIBERG
1,00;DESCANSAR S.A.;16.790,00;CLASICO;02/01/2023;VARIOS;UNICO;OUTDOOR Y TIEMPO LIBRE;CAMPING;REPOSERAS;;644156 - 80001 DESCANSAR REPOSERA PLEGABLE 5 POSICIONES 2022;80001 DESCANSAR REPOSERA PLEGABLE 5 POSICIONES 2022 VARIOS UNICO;DESCANSAR
1,00;ANSOPAZ S.A.;9.339,00;CLASICO;02/01/2023;NEGRO;42;CALZADO;ZAPATILLAS;DEPORTIVAS;STOCK INMOVILIZADO 2023 ;642434 - SK510 ANSOPAZ ZAPATILLA DEP 2022;SK510 ANSOPAZ ZAPATILLA DEP 2022 NEGRO 42;ANSOPAZ
1,00;ZONA 93 S.A.;7.910,10;CLASICO;02/01/2023;GRIS/NEGRO;42;CALZADO;ZAPATILLAS;DEPORTIVAS;STOCK INMOVILIZADO 2023 ;643568 - ST2137 SETA ZAPATILLA DEP 2022;ST2137 SETA ZAPATILLA DEP 2022 GRIS/NEGRO 42;SETA
-1,00;SHOES FULL PLASTIC S.A;-5.765,00;CLASICO;02/01/2023;NEGRO;44;CALZADO;ZAPATILLAS;URBANAS;;629291 - 2530M NEW PORT ZAPATILLA 2020;2530M NEW PORT ZAPATILLA 2020 NEGRO 44;NEWPORT
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);12.860,10;CLASICO;02/01/2023;NEGRO;38;CALZADO;ZAPATO;STILETTO TACO MEDIO;NICO OPORTUNIDAD JUNIO ;642565 - 4122/1100/20033 BEIRA RIO ZAPATO T/A 2022;4122/1100/20033 BEIRA RIO ZAPATO T/A 2022 NEGRO 38;BEIRA RIO
